Date,red_sold,blue_sold,yellow_sold
1,6,16,2
2,6,13,8
3,15,9,2
4,9,17,9
5,7,9,10
6,20,5,5
7,7,5,3
8,3,10,5
9,11,13,12
10,11,17,10
11,16,12,3
12,14,13,4
13,17,16,6
14,16,8,2
15,8,5,3
16,18,2,12
17,19,16,19
18,5,16,6
19,3,18,13
20,2,6,8
21,4,17,6
22,15,4,3
23,15,3,4
24,15,13,7
25,15,1,10
26,7,5,20
27,16,14,18
28,5,7,19
29,17,13,17
30,15,7,18
31,6,10,3
32,20,17,18
33,19,15,4
34,20,7,7
35,13,7,1
36,20,7,16
37,17,20,12
38,18,7,4
39,13,16,6
40,13,20,12
41,18,12,14
42,7,1,13
43,15,19,9
44,17,5,17
45,4,7,11
46,11,18,10
47,19,7,14
48,18,9,5
49,12,1,15
50,5,9,19
51,6,15,3
52,4,18,18
53,15,8,15
54,2,16,14
55,15,11,10
56,2,14,6
57,10,16,18
58,1,2,17
59,4,2,6
60,1,1,19
61,7,16,9
62,11,7,8
63,6,1,11
64,5,12,4
65,7,17,6
66,2,16,15
67,3,13,1
68,1,13,9
69,14,12,6
70,8,8,1
71,16,17,18
72,17,10,9
73,13,20,7
74,9,13,7
75,18,9,17
76,20,17,12
77,11,20,4
78,12,7,18
79,4,16,16
80,3,19,5
81,1,8,10
82,1,13,20
83,10,19,2
84,1,18,9
85,11,6,16
86,7,17,16
87,12,9,16
88,6,14,10
89,10,1,2
90,11,3,6
91,15,1,13
92,10,20,15
93,8,3,9
94,11,7,10
95,16,19,5
96,13,13,19
97,6,5,20
98,8,6,18
99,15,5,14
100,12,2,17
101,2,1,2
102,15,1,10
103,10,16,1
104,7,7,13
105,19,3,4
106,6,5,15
107,18,17,16
108,9,12,3
109,2,4,8
110,14,2,7
111,10,20,3
112,3,9,20
113,1,5,12
114,1,6,3
115,5,12,15
116,3,14,9
117,15,17,14
118,8,17,8
119,8,13,7
120,3,9,16
121,3,2,1
122,12,17,3
123,16,7,5
124,17,8,7
125,11,16,9
126,10,20,16
127,6,13,4
128,17,5,5
129,9,10,8
130,7,11,4
131,12,1,20
132,11,12,13
133,17,15,7
134,5,14,4
135,7,10,8
136,16,2,17
137,13,19,11
138,15,5,14
139,15,5,11
140,20,4,8
141,6,12,18
142,3,6,11
143,13,13,13
144,15,4,20
145,11,14,3
146,15,15,14
147,4,17,8
148,20,4,3
149,14,2,5
150,15,7,13
151,9,3,5
152,6,2,8
153,9,20,20
154,20,3,17
155,8,7,10
156,19,19,5
157,11,18,19
158,15,11,10
159,3,14,1
160,19,9,6
161,3,1,6
162,5,8,16
163,1,17,4
164,9,15,14
165,12,5,19
166,9,16,1
167,17,9,19
168,2,16,10
169,10,1,17
170,6,18,7
171,16,10,18
172,3,10,4
173,9,9,18
174,9,8,4
175,14,1,1
176,6,11,11
177,6,16,3
178,11,20,6
179,13,10,12
180,15,10,4
181,10,4,3
182,17,20,16
183,20,6,1
184,20,5,6
185,17,2,20
186,4,6,7
187,11,9,20
188,8,7,8
189,17,14,14
190,9,14,19
191,5,1,19
192,9,18,1
193,16,10,13
194,17,1,13
195,12,18,17
196,16,19,13
197,5,15,6
198,13,5,15
199,3,15,13
200,12,20,14
201,15,6,12
202,17,13,13
203,13,9,2
204,7,3,17
205,19,1,5
206,12,6,4
207,17,6,19
208,6,6,19
209,17,11,9
210,12,15,20
211,13,6,11
212,12,5,16
213,1,1,2
214,2,5,8
215,9,14,5
216,15,16,3
217,17,8,2
218,13,16,2
219,13,3,11
220,20,20,4
221,2,10,14
222,17,7,5
223,10,13,5
224,4,20,20
225,5,9,16
226,6,13,11
227,17,18,8
228,9,7,20
229,8,17,7
230,6,13,8
231,1,2,16
232,8,1,19
233,7,9,11
234,16,19,9
235,20,1,4
236,8,4,2
237,9,12,19
238,7,10,6
239,6,6,6
240,16,13,16
241,12,3,4
242,11,5,20
243,3,12,1
244,5,7,20
245,4,10,10
246,6,11,15
247,18,20,11
248,1,11,10
249,11,3,18
250,14,16,15
251,4,9,13
252,18,5,18
253,4,18,19
254,17,18,6
255,13,4,9
256,20,6,19
257,10,3,16
258,4,9,20
259,11,3,10
260,5,10,2
261,3,16,20
262,10,6,10
263,19,2,8
264,17,19,15
265,6,19,20
266,16,11,20
267,18,4,12
268,11,18,16
269,9,12,14
270,5,8,9
271,2,1,15
272,6,16,6
273,2,4,15
274,17,10,18
275,2,14,8
276,14,13,13
277,6,9,3
278,6,7,20
279,1,6,6
280,4,20,1
281,2,20,4
282,19,12,13
283,6,13,18
284,1,19,10
285,6,2,17
286,6,16,12
287,11,8,11
288,19,8,1
289,8,13,9
290,4,16,11
291,19,6,2
292,15,8,2
293,18,4,10
294,2,19,18
295,9,3,19
296,15,2,10
297,16,7,10
298,9,16,1
299,17,14,20
300,1,8,20
301,11,10,14
302,12,15,12
303,3,19,18
304,12,3,12
305,16,1,11
306,9,16,14
307,13,17,6
308,10,19,12
309,9,9,4
310,11,17,14
311,6,11,11
312,7,5,6
313,12,8,17
314,7,2,13
315,5,8,18
316,11,6,7
317,9,14,18
318,15,6,18
319,18,15,11
320,15,1,20
321,7,14,3
322,4,18,6
323,13,15,11
324,13,18,5
325,7,4,16
326,1,6,15
327,19,10,7
328,19,16,18
329,4,1,13
330,4,5,12
331,9,8,7
332,9,6,4
333,19,12,15
334,4,14,9
335,10,20,1
336,18,7,4
337,1,11,12
338,20,4,3
339,14,15,18
340,19,10,4
341,19,8,20
342,4,9,6
343,20,20,4
344,2,3,13
345,4,2,18
346,12,13,19
347,9,5,5
348,3,9,2
349,6,19,19
350,3,2,11
351,1,19,14
352,20,11,10
353,13,8,3
354,13,4,3
355,8,5,13
356,5,11,2
357,18,19,11
358,8,20,12
359,18,9,1
360,18,12,7
361,18,2,14
362,20,10,14
363,8,9,8
364,17,10,12
365,16,6,1
366,2,6,11
367,9,6,3
368,16,2,15
369,15,18,1
370,18,6,13
371,20,11,3
372,10,3,4
373,9,7,11
374,13,14,8
375,19,3,6
376,3,14,7
377,8,17,14
378,18,6,9
379,6,3,19
380,3,19,15
381,8,7,9
382,4,1,1
383,19,8,5
384,11,9,5
385,15,14,13
386,7,15,13
387,6,1,11
388,4,17,2
389,3,17,2
390,18,12,9
391,4,17,8
392,12,8,3
393,14,10,12
394,16,9,16
395,12,12,3
396,6,14,3
397,17,1,8
398,9,9,7
399,5,6,5
400,12,7,3
401,5,19,10
402,6,19,20
403,13,18,14
404,8,19,8
405,18,18,19
406,2,12,20
407,2,12,14
408,3,2,20
409,3,6,9
410,2,12,1
411,15,10,7
412,16,18,17
413,10,19,17
414,13,3,8
415,10,4,19
416,8,18,8
417,1,1,2
418,2,13,7
419,16,17,9
420,4,1,10
421,20,7,3
422,4,12,3
423,3,18,1
424,8,4,10
425,3,16,14
426,19,18,17
427,12,14,1
428,5,9,1
429,2,16,16
430,8,14,15
431,11,14,5
432,7,15,20
433,14,8,20
434,9,16,3
435,3,15,11
436,6,2,6
437,14,20,16
438,16,18,4
439,18,15,6
440,16,15,5
441,13,5,20
442,17,9,2
443,15,20,19
444,3,8,11
445,10,1,20
446,4,20,18
447,13,3,8
448,15,13,16
449,11,1,7
450,5,1,5
451,12,9,14
452,11,2,4
453,20,5,9
454,19,15,4
455,6,5,5
456,12,9,12
457,1,18,19
458,4,15,5
459,2,5,5
460,18,7,8
461,7,12,7
462,1,11,6
463,10,11,10
464,17,16,17
465,15,7,15
466,3,4,17
467,6,9,8
468,10,13,5
469,11,12,13
470,11,14,10
471,1,13,3
472,10,15,20
473,10,4,10
474,11,2,16
475,16,17,15
476,4,11,5
477,11,15,5
478,8,12,5
479,12,5,11
480,5,16,2
481,4,10,4
482,15,19,2
483,15,7,2
484,9,15,13
485,7,20,15
486,2,8,16
487,19,13,19
488,13,3,20
489,18,6,15
490,5,14,2
491,18,17,6
492,10,3,13
493,9,7,6
494,13,1,12
495,1,20,4
496,1,19,6
497,9,12,15
498,18,13,2
499,10,12,20
500,18,8,20
501,1,12,16
502,20,13,20
503,3,4,19
504,19,6,8
505,9,3,3
506,10,14,13
507,12,11,1
508,18,16,8
509,4,17,9
510,17,3,2
